name,personality,description
Miho,"compassionate, devoted","Miho is Seiya's best friend, she works at an orphanage, which is the same one where Seiya and his sister Seika lived before Seiya was taken away. Apparently she's in love with Seiya to some degree, and in a sense represents the point of view of the normal people who are mere witnesses to the struggle between the Gods.

Source: Saint Seiya Wikia"
Kaoru Mashiko,"Laziness, Caring","She is a student of Osafune Girls' Academy. She is typically seen as a lazy girl that always conserves her energy. Although it may seem that she displays an indifferent attitude towards Ellen, she actually cares about Ellen and relies on her a lot."
Mifuyu Kiba,"kind, resilient",She is a kind spirited young student who is a second year like Chisato however she had surgery and had to start a year after everyone else
Lori Loud,"Authoritative, Dominant","At 17 years old, Lori is the oldest child of the Loud family, and the oldest of Lincoln's five older sisters. This is a fact she uses to assert authority and absolute dominance over her siblings. Lori attends Royal Woods High School with her siblings Leni, Luna, and Luan."
Tomeo Yukishiro,"Serene, Sad","Tomoe was a beautiful young woman with jet-black hair and eyes. She is thin and wears a white kimono with a purple shawl.Tomoe is the first child of a samurai as well as a low-level bureaucrat who served the Tokugawa Shogunate in Edo. Her mother died giving birth to her brother. She is constantly seen with a serene, almost sad look on her face, and rarely sports an expression of high emotion. But when she does smile it is a pleasant sight to see."
Rika Ueda,"Arrogant, Inexperienced","Rika Ueda is a Schwert user. Her Schwert weapon is a kusarigama, a sickle and chain. Due to her age, she is inexperienced and arrogant with a similar attitude as Shizuku."
Ryouka Yamakawa,"Timid, Apologetic","She is in Seitetsu Class 5 of the second grade. She has, before her transformation, the appearance of a young idol for her age, but her appearance is that of a grown woman after she transforms to her Kämpfer form. She seems to be afraid of everything, she says ""I'm sorry"" when she makes a mistake."
Cleo Brand,"Serious, Fun","She is a third-year student at West Genetics. She is currently ranked 5th among all West Genetics third-year students. She is generally serious, but has showed a more fun side to her when playing soccer with the second-years. She seems to have a sense of justice."
Isuzu Sawatari,"Sadistic, Psychopathic","She is a former West Genetics Pandora and member of the Chevalier. In order to further her rivalry with the strongest Chevalier Pandora, Su-Na Lee, Isuzu has joined the Busters in Operation Cat Killer. Isuzu gives off the image of a kind and non confrontational young woman. In actuality, Isuzu is a sadistic psychopath who revels in killing others, possessing a thirst for torturing her victims emotionally, and revels in their pain."
Mei Momozono,"Strong-willed, Determined","An extremely voluputuous female computer and physics expert, who works at the college's physics department as a math teacher. She had been trained since childhood to be the servant to Sorata, but decided that she would not follow Mouse blindly until she saw him herself, even planning to kill herself if she was made to follow a man she did not respect."
Rati,"Seductive, Impulsive","A pink-haired succubus who looks like a little girl but is definitely fully adult. Like Carerra, she is usually successful in capturing souls, and is often on the receiving end of Carerra's sexual attentions.

When Carerra failed to deliver Ogawa's soul, she was punished by being confined in a cell for five days. After Mercedes had seduced her, Rati had visited. Seeing Carerra bound up and nude, Rati then approached her and seduced Carerra herself... but with bad timing, because Carerra was set free soon after... and returned the favor to Rati. Rati is shown at one point wielding a type of mace in combat against heaven's guardians. She does not appear to be very adept as she is still captured"
Hishi Amazon,"Heroic, Dependable","Known as a ""Heroine of Justice"", she has the abilities of a top-class horse girl. She rescues the weak and crushes their oppressors, just like an experienced, dependable sukeban from the good old days."
Homura,"kind, pure","A girl who really appeared in the 9th episode of the first season of Osomatsu-san, and in the 8th episode of the second season, she is a pure and kind person. Homura stays with Jyushimatsu, the fifth brother of the Matsuno family, they have ""dates"" together, after they fortunately met just before a tragic event almost happend, which as created a profound bond between them. The story don't tell a lot of things about her, the most we know are guesses, but what we know is that she has the most beautiful smile in the entire world, fight me.
Her name has never be said in the anime, so the fandom of Osomatsu-san decided to call her Homura, because of the last thing that Jyushimatsu said to her "" Thanks you, king-sized, game-winning, home-run"", home-run stands for Homura, or Homerun-chan, or even Homura Kano ( kano-jo- for girlfriend )."
Lynn Titis,"nervous, shy",She is a student from Alzano Imperial Magic Academy. Lynn is shown as a nervous girl where she asks Glenn something while covering her face.
Chiba Erika,"outgoing, tsundere","A Course 2 student and Tatsuya's 1-E classmate. She is one of the first people to befriend Tatsuya, and is close friends with Mikihiko, Leo and Mizuki. Very much a standard tsundere, she has an outgoing personality that allows her to befriend people easily but she garners attention from those around her and is someone who is not easily committed and goes off on a whim. While she and Leo got off to a rocky start, it's clear that eventually there may be more than just friendship between the two.

A beauty in her own right, Erika is the youngest daughter of the Chiba Family, one of the Hundred Families, famous for training people in swordsmanship. She greatly admires her older half-brother Naotsugu (almost to the point of having a brother complex) and disapproves his relationship with Mari Watanabe. She herself is a master of swordsmanship, enough for her to be recognized and allowed to carry the Chiba family name. During the Yokohama Disturbance, she wielded the giant sword Orochimaru, one of the pinnacles of sword-type armament forged by the Chiba Family."
Matilda of Sachsen-Gotha (Miss Longueville) (Fouquet),"Resourceful, cunning","Matilda de Sachsen-Gotha is the secretary of Old Osmond. She handles the overall running of the Tristain's Magical Academy. She is 23 years old, and a commoner, though she was once a noble. Because of this, she is still able to use magic. Matilda is a triangle class, earth mage. She is notably capable of making golems.
It is later revealed that she is actually the famous thief, Fouquet the Crumbling Dirt."
Kriemhild,"Prideful, Intelligent",A major in the Dorssia Military Pact Federation who works directly under Colonel Cain as his aide. She is a very prideful woman who graduated the military academy with top grades.
Fatina,"Ambitious, Loyal","Voiced by: Yui Horie (Japanese); Jamie Marchi (English)

The only female member of Neeba's party, she is a proud magician. She admires Neeba, and has confessed to Jil that she wants to become Neeba's girlfriend, but Neeba's feelings towards her are unclear. Like Melt, she became a climber largely from a desire for personal profit, intending to use the power of the Blue Crystal Rod to become rich. Her purse has a strap made of an expensive leather that she carries as a reminder of her goal (she informs Jil she wanted a belt of it, but could not afford it.) In combat, she appears to use fire magic, utilizing a cannon-like staff weapon to cast spells. At episode 12 she is betrayed by Neeba and she is saved by Jil during the whirlpool incident in which they are the only known survivors. At the beginning of season 2 she is living with Jil as they both attempt to make new lives for themselves following the destruction of Druaga. During the second season she falls for Jil but realizes that in his heart he still loves Kaaya."
Atsumi Munakata,"exuberant, forward","Atsumi is an exuberant and touchy-feely girl. Simply put, she is a super-energetic girl with a great love of the female body. Her love extends so far that she enjoys foods like soft buns. She became an idol to make lots of female friends, and maybe even engage in some ""skinship"" with them. When it comes to describing other women, she talks rather perversely, and she is often found gazing at other idols’ bodies. 

Her attention span to an assignment is proportionally reduced as the quantity of surrounding beautiful females is increased. This was especially shown at the Hawaiian Beach event, where she was part of the idol group. Atsumi made sure to bring a camera. 

Atsumi often schemes up ideas to get other idols to allow her to fondle their breasts, although she has been known to occasionally go overboard. Some idols have managed to use this against her, such as Helen and Manami Kiba. 

In the tie-in Cinderella Girls Theater skits, Atsumi proves herself to be very forward in promoting skinship with her fellow idols. When she went into a daydreaming frenzy, Manami Kiba drew her out of it by placing her on her lap and under her own cleavage. Atsumi underwent her own Dream Festival, trying to get other idols’ permission to fondle their breasts. She employed tactics such as acting like a little sister and bribery. Atsumi has occasionally been distracted by breasts by using other objects (particularly food), such as Naho Ebihara’s bread buns, cow udders, and sausage meat."
Yukino Aihara,"refined, regal","Yukino is a refined tea aficionado. Her favorite drink is specifically black tea. She usually keeps her hair in a braid, and uses a hair clip and ribbon to keep her bangs up. She has a large bust, but most of her outfits don't focus on her cleavage.

In the tie in Cinderella Girls Theater skits, Yukino’s love for tea shines through; usually serving an expensive black tea, she can often be found giving other idols food with pricey cutlery and tea sets. Her regal personality appears to proceed her. Yukino gained the part of a bartender in a Wild West film."
Miyako Anzai,"Inquisitive, Playful","Miyako is a girl with a strong love of detective dramas and mystery in general. As a result, she tends to act out her love of them by pretending to be a detective, and she seems to have quite a bit of talent at it. Claiming that she was born to be a detective, she proves to be an inquisitive junior crime solver and aspiring detective. She uses an inner monologue when sleuthing a target and has been known to use common character tropes to solve cases, such as finding out that the butler committed a crime. In that particular instance, the Producer played as the guilty butler during a stage play with the idols.

In the tie in Cinderella Girls Theater skits, Miyako’s detective skills are played up. She became an amateur sleuth at a very young age, and keeps a picture of the day she started. She likes to learn more about her fellow idols through interviews or interrogations, and has found out about Ayame Hamaguchi’s past this way. She tried to find the secrets behind Noa Takamine, but was instead found out and scolded. She has trouble studying, is bad at English and uses the philosophy of looking smart equals being smart.

Her first Idol Topic in Starlight Stage and her listed hobbies say that she 'looks' at novels rather than 'reading' them. This was explained in the Refresh Room story featuring Miyako and Yoriko Furusawa, where it is revealed that although Miyako is often seen 'reading' mystery novels around the office, she only 'looks' at them, as she likes to try to solve the mysteries with only the illustrations, saying that it's good practice for honing her deductive powers."
Clarice,"Compassionate, Kind","Clarice is a compassionate and kind woman of faith. With a love of choir music, she seeks to become an idol to spread joy and happiness. Clarice uses the money she makes as an idol to run charities and pay church bills, all while never keeping any for herself. She is depicted as one of the most levelheaded and mature idols, and as a good listener, due to confessional experience. Clarice will also take the duty of helping out others and take charge of situations in a heartbeat. When faced as a rival by other idols, she considers her defeat to be a sign from God, because the Producer is a good man who cares for others. Due to her work as a woman of faith, she's not very used to being around men.

Interestingly, the exact nature of her blindness is not specified, perhaps because she was not originally intended to be. She is able to wander locations without use of a walking stick or trained dog, and she hasn’t been seen with scripts or lyric sheets written in braille. However, two of her cards display her having problems from lack of sight: the first with the Producer accompanying her to an art museum to describe the exhibits, and the second with her tripping in a messy room and needing the Producer to gather the papers she dropped.

Additionally, Clarice's religion is kept very vague- it resembles Catholicism in most aspects, but varies from it as well. She is obviously a nun and talks about God and Heaven, but the series never delves into it further than that.

In the tie in Cinderella Girls Theater skits, Clarice is shown to be a calm and reserved young woman. She is able to silence Kirari Moroboshi with only a stern look, although it’s hinted that the taller girl may have seen Clarice’s eyes. She believes it is very bad to let food go to waste, and as such forces herself to eat Natalia’s disgusting banana and sushi combination. She believes Christmas to be a peaceful and splendid day that should be void of all conflict. Shiori Sena and Marina Sawada both admit that they would like Clarice to officiate their future weddings. Tsukasa Kiryu and Kiyomi Saejima mistakenly assume her to be asleep due to her always closed eyes."
Tsubaki Egami,"refined, whimsical","Tsubaki is a dignified and refined character who enjoys taking photos of everyday life. She tends to be very whimsical, and believes in fortune telling. Most of her idol outfits are kimono-inspired.

In the tie in Cinderella Girls Theater skits, Tsubaki’s photography skills are played up considerably. Tsubaki is rather laid back, and her advice for other idols tends to reflect this. Her camera skills show that while she can take very amazing and memorable photos, she also can capture some rather scandalous images too. Her philosophy for picture taking is that taking a relaxed approach allows for more interesting pictures. Tsubaki has been asked to work for Makino Yagami and Reina Koseki, but she teasingly states that her work is for her personal usage. She also likes the fortune aspect of visiting shrines on New Years."
Mai Fukuyama,"responsible, mature","Among the younger idols, Mai Fukuyama is one of the more mature and composed girls. She's very responsible, to the point where her school's class and year representatives leave things like class greetings to her.

It was revealed in Starlight Stage that before she became an idol, Mai used to be a child actress. After being encouraged by her mother, Mai decided to try being an idol. She took a liking to the Producer as he reminds Mai of her mother; who always encourages her to try new experiences so that she can find what she enjoys most."
Akiha Ikebukuro,"Inventive, Enthusiastic","Akiha is a 14-year old prodigy with a natural talent for robotics. Considered a genius, she often is seen tinkering and building machines and robots. Akiha has a habit of equipping her robots with a huge array of functions totally irrelevant to what they were made for in the first place.

In the tie in Cinderella Girls Theater skits, Akiha’s robotics prowess is on full display. She appears to be very reverent of Ritsuko Akizuki and is close friends with Yoriko Furusawa. Her enthusiasm for robots and creative energy allow her to make creations on the spot, albeit with a single track mind. Some of the various inventions she has created are hinabots (robots based on dolls), crepe making robots, and a specialized cheering megaphone."
Shinobu Kudo,"Determined, supportive","Shinobu is a girl who has dreamed of being an idol since childhood and grew up admiring and listening to them from afar on her radio. Both her parents and her friends say she isn't cut out to be an idol, but she moves to Tokyo on her own nonetheless to join the Producer's talent agency. Ultimately, she is able to follow her dreams of stardom in spite of everyone around discouraging her. In her plus card, her parents call to apologize.

She was initially paired up with another idol themed around hard work, Honoka Ayase. Since then, both Azuki Momoi and Yuzu Kitami have seemed to join their group of friends.

In the tie-in Cinderella Girls Theater skits, Shinobu reveals that she wants to be a Top Idol so she can pay back the Producer for all of his hard work. Shinobu had a Tohoku regional accent as a child but devoted a great deal of time to listening to Tokyo radio and improving her diction to lose it. She likes the school uniforms her job as an idol allows her to wear. She dreamt of Kako Takafuji on the first day of the New Year and wound up winning a lottery prize. She is rather rigid when compared to some of the adult idols, but she sets up a goal to become more laid back. Shinobu occasionally worries that her comic collection qualifies her as an otaku.

Shinobu met Honoka Ayase while playing a crane game, hoping to help her friend get a Kuma Tomo bear as a prize. Honoka’s pursuit to catch a green cat-like doll (which she later name Pinyakorata) allowed her to get several other stuffed animals. When Shinobu couldn’t manage to get any toys herself, Honoka gave her several of her own and Shinobu created a “Honoka zone” in her room for them. The two became extremely close friends while going out to eat together, and drew in Yuzu Kitami and Azuki Momoi into their group. Since then, the four girls were usually shown together with Pinyakorata as their major theme. When going to the amusement park, Honoka’s interest in her green cat plushie carried over to a matching hat set, and the quartet decided to get Pinyakorata hats."
Saya Matsubara,"Cute, Enthusiastic","Saya is the boss of the Ikebukuro area. She is a cutesy young woman who has her eyes set on the Producer ever since she first saw him. She speaks in the third person, and her casual wear outfits are sweet lolita dresses.

In the tie in Cinderella Girls Theater skits, Saya shows a severe lack of stamina when training with Ema Senzaki and Rumi Wakui. To help her out, she has recently started taking protein supplements stating that they are easy to mix in with food and have a variety of tastes."
Azuki Momoi,"Cheerful, Creative","In Starlight Stage, Azuki arrived slightly late to her audition. She said this was her ""Operation G"". When the Producer asked about it, she explained that it was the ""barely getting to the location in time to look more important"" operation. She also told the Producer that she was the poster girl of a textile shop, thinking that it was fitting for an idol. She said that if she doesn't become an idol, she would be inheriting the textile shop, and that she really wants to become an idol. When she was scouted, she happily told the Producer that operation ""poor little me"" was a success, and explained how it worked. She calls her lessons ""my idol training"" operations. She expressed that her dream is to become a sexy idol; and as such she also started ""Operation S"". Azuki admitted that she is a good actress, but she lacks the experience and skills for sexy roles.

In the tie in Cinderella Girls Theater skits, Azuki is shown to be a bright and cheerful girl who loves looking cute. She is depicted as having crazy ideas, such as trying to force Reina Koseki into liking being cute or splitting an already cut apple tart five ways. She admits that she tries to make sexy poses despite being a cute idol. Interestingly, while she is underage, she was initially paired up with idols who became intoxicated when she was around. Since then, she has become close friends with Honoka Ayase, Shinobu Kudo and Yuzu Kitami."
Sakura Muramatsu,"Sweet, fun-loving","Sakura is the Cute representative of the New Wave trio. Sakura is the sweet, fun-loving spirit that serves as the heart of her unit. She has a speech style where she stretches out words and uses ""super"" a lot. Her favorite color is pink, but onstage she normally wears red for the sake of completing the primary colors with her friends, Ako Tsuchiya and Izumi Ohishi. The trio is very close, and is almost never seen without the other members. Sakura’s idol stage clothes always coordinate with Ako and Izumi’s, and her cards are set up to work best with the other New Wave members. She usually wears a single, large bow or headbands with bows attached.

In the tie in Cinderella Girls Theater skits, Sakura is particularly close to Ako due to them both being very childlike. She likes to wear dresses and enjoys playing with Momoka Sakurai’s dogs. Sakura tends to get distracted easily, as she lets her pastries burn when practicing for a singing and baking simultaneous job. When she lost to Izumi in Hanetsuki, she had her face painted to match Mirei Hayasaka’s eye patch. For some reason, Yukari Mizumoto holds Sakura saying that she’d make dinner to be good advice for performing at live events.

Sakura loves being with Izumi and Ako, to the point of wanting to live with them. When her two friends try to convince her of what parts of her character to flesh out when going solo, they simply point out that Sakura tends to be cute no matter what she tries. She eventually accepts that and decides to keep it as her selling point."
Hasumi Nagatomi,"Nostalgic, Passionate","Hasumi loves retro things, and has dreamt of being an idol ever since she was a little girl; this was probably helped by her mother, who has an admiration of the idols of the past. Because of this Hasumi believes the best fashion trends happened decades ago. Her taste of fashion reflects costumes from the 1950’s, the 1960’s, and the 1970’s. Other idols consider her outfit choices to be too nostalgic.

In the tie in Cinderella Girls Theater skits, Hasumi appears to be very nostalgic and clearly enjoys old fashioned things. She has had her photo shoot pictures taken in sepia for a retro feel. She likes sweet pea flowers, and has described her fans as an army."
Hitomi Niwa,"Knowledgeable, Enthusiastic","Hitomi is an idol from Nagoya with tremendous interest in her country's feudal history. She can cite encyclopedic knowledge of figures like Hattori Hanzou, Miyamoto Musashi and Yagyu Jubei. Hitomi travels around Japan with tour guides that explain what major battles or significant historic events took place in the location. Some of her idol costumes also contain some elements of samurai wear.

In the tie in Cinderella Girls Theater skits, Hitomi shows her knowledge base on the feudal lords of Japan. She often compares her fellow idols to famous historical figures and references various battles. She will occasionally start to imagine that she is one of those figures, and will act as them during entire conversations. Admittedly, she won’t eat fish from the head like a general, as she finds that to be disgusting. Hitomi appears to be a very skilled actress and tour guide. She also is friends with Honami Nishikawa and Ayame Hamaguchi. She doesn’t have much interest in Asai Nagamasa."
Michiru Ohara,"Cheerful, Gluttonous","Michiru is a rather cheerful girl with a voracious appetite for food that can never be sated. If she isn't eating something, there's zero doubt she thinking about eating something. She gets easily distracted by food, no matter the type, usually to the point of ignoring everything around her. Official artwork depicts her as tending to focus on baked goods though, and for good reason, as her parents own a bakery.

In the tie in Cinderella Girls Theater skits, Michiru is introduced by Cathy Graham. She used to work at the “Ohara’s Bakery” shop, but could never properly work as a showgirl due to her always eating the merchandise. She is almost never seen without bread on her person, and she seems to favor café lattes. When choosing sweets, she takes on a very serious demeanor."
Miyabi Tsukimiya,"sweet, hardworking","Miyabi is a sweet young woman who adores her mother and spends a lot of time with her. From her speech it's deduced that her mother tried to be an idol but failed, and Miyabi tries to accomplish that dream. She is obviously spoiled by her mother, but she's gentle with Producer and always tries to make his work easier. She refers to herself as ""Miyabii"".

In the tie in Cinderella Girls Theater skits, Miyabi is shown to be a hardworking girl. She likes to practice her swimsuit poses when at the beach. She initially believes Tomoe Murakami to be a feminine girl, but is quick to find that she is actually a female supremacist. One job had her working as a maid, but she dropped her tray in worry over Yukimi Sajo. Thankfully, Chiaki Kurokawa caught it. She is also the one to tell Ayaka Kishibe that wearing a wedding dress will make her marry late."
Kozue Yusa,"Innocent, naive","Kozue is an innocent yet absent-minded girl recruited by the Producer. She is quite inquisitive, with slight hints that she's lived a somewhat sheltered life. She tends to elongate any end vowel and speaks entirely in hiragana. It’s possible that this is due to the fact that she dozes off from time to time.

In the tie in Cinderella Girls Theater skits, Kozue is introduced by Hasumi Nagatomi. Always drowsy, she appears to be extremely innocent. She tries to wish on a star, but seems to have trouble coming up with an idea. Her idea of fun is speaking through a fan and telling others that she is an alien. Kozue likes animal crackers and enjoys spending playtime with Aya Kirino."
Chinatsu Aikawa,"intelligent, cold","Chinatsu is considered to be an intelligent, refined girl with an interest in fashion. Always donning her glasses, she is depicted as smart and cold. However, she has gained a friend in Yui Ohtsuki, after they were paired together as a duet for a New Year's concert. Yui tends to call her Chinattan. The duo plays off of their “opposites attract” ideology, as Chinatsu is usually shown as a cold, hipster artist and Yui promotes being a bubbly popstar.

In Starlight Stage, it's revealed that she met the Producer at a cafe and initially asked him not to bother her, but when he mentioned being an idol she stated that she wasn't interested in singing or dancing but was interested in challenging herself.

In the tie in Cinderella Girls Theater skits, she emphasizes believing in one’s self. She is reverent of Ritsuko Akizuki, and seems to be very sensitive on how others feel. She sticks up for her fellow idols and isn’t afraid to teach them a lesson, which Reina Koseki has found out in the past. She has been viewed as a sort of authority figure for some of the teenaged girls."
Kate,"naive, playful","Kate is a Britianian whose visit to Japan led to becoming an idol. While her hometown is listed as England, it’s made clear that she is specifically from London. She enjoys British pubs. Her notable physical features tend to be her large eyebrows and numerous freckles.

In the tie in Cinderella Girls Theater skits, she seems to not know much about Japan’s culture or laws, as she is quick to believe minors can drive when she mistakes Wakaba Kusakabe for a child. She seems to like puns. When she tries to put her hair in pigtails, Kate admits her hair simply won’t come together. She was amazed when Yuu Ohta managed to create a chocolate figurine of her dog, but easily believed that she may have harmed the dog by mistake."
Koharu Fujiwara,"Responsible, Caring","A second year who is the vice-president of the student council in her school. She is hard working and has the grades to show for it, which makes both the student and the teacher body admire her, although she often ignores her own well-being for the sake of work.
At home she looks after her younger siblings to take a load off her mother's shoulders and as such is really close to her younger brother Fuyuto. 
After getting closer to Mr. Yabe she has begun to learn how to act in her own interest more often."
Ayaka Kishibe,"refined, charming","In the tie in Cinderella Girls Theater skits, she can be seen wishing to be with Producer on White Day and introduces the idols Risa Matoba, Kanna Ariura, and Layla. She is handy with a hair dryer and curler, as she decorates Uzuki Shimamura and Rin Shibuya’s hair as a surprise. Ayaka considers her refinement to be a personality bonus, and wears a wedding dress as her best choice for a photoshoot. When she is told that wearing the dress will make her marry late, Ayaka responds by saying that she’ll have the Producer take responsibility."
Midori Mizuno,"calm, earnest","Midori is a refined, calm national archery champion from Hiroshima. The archery aspect of her is played up as her main non-idol talent. She has been known to shatter target boards with her shots, and takes it very seriously when comes to games of skill that involve aiming at a target or hitting a bullseye. She seems to have lived a sheltered life, as she didn't know the dangers of alcoholic drinks when with other idols.

In the tie in Cinderella Girls Theater skits, Midori is depicted as earnest and beautiful, but is quickly proven to be a complete airhead. She easily caught up in fun and likes to play darts. Midori also seems to be well recognizable by fans, and is suggested to wear an archer styled swimsuit in order to boost her confidence.

In THE iDOLM@STER Cinderella Girls: Starlight Stage, it is revealed that she is very popular among girls from her school's archery club."
Yume Narumiya,"shy, nurturing","In the tie in Cinderella Girls Theater skits, the other idols are often shown as being kind and protective of Yume. Always extremely shy, she is completely embarrassed upon seeing Hinako Kita’s painting. She acts as a “soothing green wind” character in Chika Yokoyama’s magical girl TV show, and plays the ocarina in the “Little Marching Band Girls” unit. Yume bought the ocarina after reading a story and hoped to call forth fairies. Instead, she brought forth the unit of band members, became their seventh member, and helped convince Wakaba Kusakabe to become the final member."
Kuroi Tasuku,"Harsh, Compassionate","She has a harsh personality but beneath that is a heart of gold. She has a distinct ""D"" tattoo on her right cheek and a piercing on her lower left lip. When fighting she only wears a strapless bra and a long skirt. As a Tasmanian devil she has razor-sharp claws and fangs and a powerful bite."
Yasuha Okazaki,"Childlike, refined","Yasuha is a former child actress who had a lonely childhood. She has a lot of experience in the entertainment business (even being called senpai by older idols, and considered one of the most experienced out of all of the Cinderella Girls idols), but she doesn't have memories of a normal childhood, leading to her unusually childlike behavior. Yasuha’s childlike tendencies have influenced her hobbies.

In the tie in Cinderella Girls Theater skits, Yasuha is shown to be very childlike, but very refined as well. She enjoys making dollhouses, is noted to have personality similarities to a sheep, and was the first to point out that Nono Morikubo related to a squirrel. Yasuha hopes to shine like a star someday, and believes that she will use her past experiences to move forward. She seems to be close to Yuuki Otokura, and has had to help Kako Takafuji when the latter has trouble coming up with idol-like challenges.

Due to her past, she did not have any special pictures of her childhood. Miyako Anzai and Syuko Shiomi have decided to help her start her own picture collection."
Koharuko Koiwai,"Serious, Confused","She is presumed to be the younger sister of Yousuke (Yotsuba's father), and therefore Yotsuba's aunt. She refers to Yousuke as onii-chan, which means ""older brother"". She lives in Tokyo and does not interact with the Koiwai family very often.

Yotsuba described her as ""someone who often bumps into a corner with her hands or feet"". She seems to be not so good at dealing with children as she constantly keeps a serious expression on her face and is direct with her words. She often gets confused with Yotsuba and Yousuke's antics.

[source: http://azumanga.wikia.com/wiki/Koharuko]"
Asagi Ayase,"Teasing, Irreverent","The eldest of the three Ayase sisters, Asagi lives at home while attending a nearby university. She is depicted as an attractive young woman who enjoys teasing people, especially her parents; her friend Torako describes her as a horrible person for teasing Ena. She is the best of her family at managing Yotsuba, and her mother claims she was much like Yotsuba when she was young. Asagi's irreverence may have come from her mother's teasing when she was a child.

[Source: Wikipedia]"
Noa Takamine,"Mysterious, Trusting","Noa is a mysterious silver-haired beauty with a flair for technology and seemingly endless list of natural skills. She enjoys having a futuristic style when on stage, and her idol costumes reflect her fascination with futuristic fashion. She is initially unwelcome of the Producer but learns to trust him. Her mysterious looks are someone reminiscent of Takane Shijou, as Noa shares odd quirks, silver hair, an unusual height, and stares into the night sky.

In the tie in Cinderella Girls Theater skits, Noa is shown to be a very mysterious and secretive girl. She is very good at domestic skills, such as cleaning and cooking, and seems to have an odd tracking ability. Noa believes that idols should analyze and understand the true meanings behind wearing skimpy costumes. She also lands the lead role of a Wild West film."
Rumi Wakui,"Ambitious, Caring","Rumi is a woman who sacrificed her personal life to put an office career before everything else. She avoided having a social life to dedicate herself to work advancement, and even cut her hair to a boyish length because she didn't want being feminine to be a career issue. Her ambition led her to become a company manager, but also forced her into being single.

Despite being allergic to them, Rumi really loves cats and can't avoid hugging them when she sees one.

In the tie in Cinderella Girls Theater skits, Rumi is often seen caring for her fellow idols, and takes on an almost motherly tone with Takumi Mukai and Tomoka Wakabayashi. Her love of cats often appears to get the best of her, causing her to have allergic reactions during lessons. She proves that she’s an extremely good tennis player, playing a competitive match that lasted well over an hour and 30 minutes with the Producer. Believing that she has lost her concentration she attempts to focus on flower arranging, but feels at a loss when she passes on the opportunity to pet a cat."
Mary Cochran,"Proud, Attention-seeking","Mary is a young American fashionista. She left her home in San Francisco to become an idol in Japan. She likes to be treated as a noble lady and to be the center of attention. However she still feels lonely, as she often calls out for her mother when asleep. Mary likes to eat, but only the best of foods.

In the tie in Cinderella Girls Theater skits, Mary is a proud little actress who seeks to be the center of attention and to be viewed as an adult lady. She believes herself to be the cutest and sexiest of her friends, tries to act more mature that she really is, and claims she is more popular than most of her fellow idols. This all tends to backfire on her. While she’s aware that she hasn't hit puberty, she’s still upset about her bust size when in comparison to idols like Satomi Sakakibara. She seems to be friends with Yui Ohtsuki and apparently sees Risa Matoba as a mentor. Hitomi Niwa points out that she and Honami Nishikawa have a mother daughter relationship.

Mary doesn’t seem to understand many Japanese customs, or the Japanese film industry. She believes that to be a movie star, she has to wear a top knot wig until the Producer stops her."
Shiho Makihara,"Cheerful, Caring","Shiho is the waitress of a Maid Cafe that specializes in sundaes and sweetened tea. Shiho herself has a severe sweet tooth, and will often try to make her customers buy some of the shop’s sweets. She continues to work part-time upon becoming an idol, and her idol costumes use her maid job as a theme. Her hips measurement are among the highest and without a larger bust size.

In the tie in Cinderella Girls Theater skits, Shiho uses the skills she learned as a maid in her idol work as well. Most of her appearances depict her as a food and drinks server. She particularly likes tea and coffee. During an event, she worked with Ai Togo to fix the messes Koume Shirasaka and Frederica Miyamoto were creating while at a maid cafe. She later introduced Asuka Ninomiya, Tokiko Zaizen, and Kurumi Ohnuma to the cast and planned to feed everyone sweets in their sleep as a Christmas present."
Kai Nishijima,"passionate, adventurous","Kai is a young and talented swimmer from Osaka who is very passionate about swimming and idol work. Half of her cards feature her wearing swimsuits or swimsuit-inspired idol outfits due to her hobbies and skill sets.

In the tie in Cinderella Girls Theater skits, Kai is an avid swimmer with an adventurous spirit. She encourages Mutsumi Ujiie to help her instigate dolphins to get splashed by them. Kai’s fashion sense has proved to be somewhat troublesome, as she doesn’t like skirts and has difficulty not wearing a swimsuit as her casual street clothes. She knows of Sanae Katagiri’s drinking habits and has trouble keeping up with Arisa Mochida’s enthusiasm on the beach."
Aoi Shuto,"Energetic, Enthusiastic","Aoi is a young girl from Oita whose family owns a boarding house. She's been raised as its heir since she was little, and taught to cook as part of her boarding house owner training. Always energetic, she usually wears kimonos or kimono inspired outfits. She was raised to become a yamato nadeshiko.

In the tie in Cinderella Girls Theater skits, Aoi is a happy kid who appears to love fish and cooking with them. She loves the sea, believing it to be a treasure trove of food, which startled Shiori Sena. Aoi participated in a Dream Festival match with Hajime Fujiwara, Kiyora Yanagi, and Kumiko Matsuyama where her cooking skills were extremely well accepted. She is at a loss when talking about love with older idols, but she loudly proclaims that cooking is like love instead. It was her idea to decorate the company office with hinamatsuri dolls. She is bad with worms and has problems with Kako Takafuji’s antics while trying to be an idol."
